STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,STATE,COUNTY,SUBREGION
1,51,161551,0500000US01051,1051,Elmore,6,1601876535,99850740,Alabama,Elmore,Southern
1,65,161558,0500000US01065,1065,Hale,6,1667804583,32525874,Alabama,Hale,Southern
1,117,161584,0500000US01117,1117,Shelby,6,2034095311,62562159,Alabama,Shelby,Southern
13,13,356976,0500000US13013,13013,Barrow,6,415349721,6642220,Georgia,Barrow,Southern
13,149,347067,0500000US13149,13149,Heard,6,766718985,13112095,Georgia,Heard,Southern
13,291,353193,0500000US13291,13291,Union,6,833844747,18273554,Georgia,Union,Southern
21,65,516879,0500000US21065,21065,Estill,6,655468669,6557897,Kentucky,Estill,Central
21,69,516881,0500000US21069,21069,Fleming,6,902720569,7183992,Kentucky,Fleming,Central
21,99,516896,0500000US21099,21099,Hart,6,1068314374,13912256,Kentucky,Hart,Central
21,125,516909,0500000US21125,21125,Laurel,6,1123945992,25218354,Kentucky,Laurel,Central
21,127,516910,0500000US21127,21127,Lawrence,6,1076386125,11584860,Kentucky,Lawrence,Central
21,131,516912,0500000US21131,21131,Leslie,6,1038212394,9331182,Kentucky,Leslie,Central
21,151,516919,0500000US21151,21151,Madison,6,1132604735,15425716,Kentucky,Madison,Central
21,189,516941,0500000US21189,21189,Owsley,6,511282949,2285945,Kentucky,Owsley,Central
21,195,516944,0500000US21195,21195,Pike,6,2037848118,4756854,Kentucky,Pike,Central
24,43,1714220,0500000US24043,24043,Washington,6,1185686686,24726569,Maryland,Washington,Northern
28,105,695775,0500000US28105,28105,Oktibbeha,6,1186750731,9649656,Mississippi,Oktibbeha,Southern
36,13,974105,0500000US36013,36013,Chautauqua,6,2745973929,1139483687,New York,Chautauqua,Northern
36,77,974137,0500000US36077,36077,Otsego,6,2594415308,36387176,New York,Otsego,Northern
37,27,1008541,0500000US37027,37027,Caldwell,6,1221349796,7115667,North Carolina,Caldwell,South Central
37,59,1008549,0500000US37059,37059,Davie,6,683500924,7616445,North Carolina,Davie,South Central
37,87,1008561,0500000US37087,37087,Haywood,6,1434071556,2414518,North Carolina,Haywood,South Central
37,111,1025836,0500000US37111,37111,McDowell,6,1141169556,13956785,North Carolina,McDowell,South Central
37,121,1008571,0500000US37121,37121,Mitchell,6,573522064,1679903,North Carolina,Mitchell,South Central
37,175,1008589,0500000US37175,37175,Transylvania,6,980388876,5135255,North Carolina,Transylvania,South Central
37,199,1008598,0500000US37199,37199,Yancey,6,809619000,1458826,North Carolina,Yancey,South Central
42,35,1214721,0500000US42035,42035,Clinton,6,2299868232,23178794,Pennsylvania,Clinton,Northern
42,59,1214033,0500000US42059,42059,Greene,6,1491700970,5253864,Pennsylvania,Greene,Northern
42,63,1213673,0500000US42063,42063,Indiana,6,2141999553,18812180,Pennsylvania,Indiana,Northern
42,67,1209180,0500000US42067,42067,Juniata,6,1013592889,5606074,Pennsylvania,Juniata,Northern
